scientific_name,park_name,observations,category,common_names,conservation_status,is_protected
Ranunculus acris,Yosemite National Park,142,Vascular Plant,"Tall Buttercup, Tall Butter-Cup",No Intervention,False
Eurybia chlorolepis,Yellowstone National Park,216,Vascular Plant,Mountain Aster,No Intervention,False
Sphenopholis pensylvanica,Great Smoky Mountains National Park,49,Vascular Plant,"Swamp Wedgescale, Trisetum",No Intervention,False
Circaea alpina,Bryce National Park,114,Vascular Plant,"Small Enchanter's Nightshade, Smaller Enchanter's-Nightshade",No Intervention,False
Erigenia bulbosa,Bryce National Park,124,Vascular Plant,Harbinger Of Spring,No Intervention,False
Senecio streptanthifolius,Great Smoky Mountains National Park,69,Vascular Plant,Cleftleaf Groundsel,No Intervention,False
Lasiurus blossevillii,Bryce National Park,113,Mammal,Western Red Bat,Species of Concern,True
Astragalus alpinus,Great Smoky Mountains National Park,82,Vascular Plant,Alpine Milkvetch,No Intervention,False
Crataegus uniflora,Great Smoky Mountains National Park,91,Vascular Plant,Dwarf Hawthorn,No Intervention,False
Streptopus lanceolatus var. roseus,Bryce National Park,99,Vascular Plant,Twistedstalk,No Intervention,False
Lycopus asper,Yellowstone National Park,283,Vascular Plant,"Rough Bugleweed, Rough Water-Horehound",No Intervention,False
Empidonax wrightii,Bryce National Park,116,Bird,"Gray Flycatcher, Grey Flycatcher",No Intervention,False
Symphyotrichum retroflexum,Yosemite National Park,163,Vascular Plant,Rigid Whitetop Aster,No Intervention,False
Ericameria cuneata var. cuneata,Bryce National Park,100,Vascular Plant,Cliff Goldenbush,No Intervention,False
Mimulus laciniatus,Yellowstone National Park,239,Vascular Plant,Cutleaf Monkeyflower,No Intervention,False
Senecio clarkianus,Yosemite National Park,157,Vascular Plant,Clark's Ragwort,No Intervention,False
Saccharum alopecuroidum,Yosemite National Park,145,Vascular Plant,Beardgrass,No Intervention,False
Picoides borealis,Yosemite National Park,43,Bird,Red-Cockaded Woodpecker,Endangered,True
Lepidium ramosissimum,Bryce National Park,91,Vascular Plant,"Manybranched Pepperweed, Pepperweed",No Intervention,False
Plagiomnium ciliare,Bryce National Park,108,Nonvascular Plant,Plagiomnium Moss,No Intervention,False
Malva neglecta,Yellowstone National Park,229,Vascular Plant,"Common Mallow, Dwarf Cheeseweed",No Intervention,False
Amelanchier utahensis,Great Smoky Mountains National Park,66,Vascular Plant,"Utah Serviceberry, Utah Shadberry, Western Serviceberry",No Intervention,False
Allium campanulatum,Yellowstone National Park,234,Vascular Plant,"Dusky Onion, Sierra Onion",No Intervention,False
Carex integra,Yellowstone National Park,258,Vascular Plant,"Smoothbead Sedge, Smoothbeak Sedge",No Intervention,False
Castilleja lacera,Yellowstone National Park,230,Vascular Plant,Cutleaf Indian Paintbrush,No Intervention,False
Collomia heterophylla,Great Smoky Mountains National Park,49,Vascular Plant,Variableleaf Collomia,No Intervention,False
Anemone occidentalis,Yosemite National Park,148,Vascular Plant,White Pasqueflower,No Intervention,False
Senecio aureus,Yosemite National Park,153,Vascular Plant,Golden Ragwort,No Intervention,False
Astragalus congdonii,Yellowstone National Park,230,Vascular Plant,Congdon's Milkvetch,No Intervention,False
Carex,Bryce National Park,80,Vascular Plant,"Carex, Sedge, Sedge Species, Sedges",No Intervention,False
Lysimachia hybrida,Yellowstone National Park,246,Vascular Plant,"Intermediate Loosestrife, Lance-Leaf Loosestrife",No Intervention,False
Amaranthus albus,Yellowstone National Park,212,Vascular Plant,"White Amaranthus, White Pigweed",No Intervention,False
Poa palustris,Yosemite National Park,172,Vascular Plant,"Fowl Bluegrass, Marsh Bluegrass",No Intervention,False
Melilotus albus,Bryce National Park,85,Vascular Plant,White Sweet-Clover,No Intervention,False
Quercus michauxii,Bryce National Park,131,Vascular Plant,Swamp Chestnut Oak,No Intervention,False
Uvularia perfoliata,Great Smoky Mountains National Park,79,Vascular Plant,Perfoliate Bellwort,No Intervention,False
Thalictrum fendleri,Yosemite National Park,146,Vascular Plant,"Fendler's Meadowrue, Fendler's Meadow-Rue",No Intervention,False
Epilobium lactiflorum,Yellowstone National Park,239,Vascular Plant,"Broadleaf Willowweed, Milkflower Willowherb, White-Flower Willowherb",No Intervention,False
Poecile atricapillus,Great Smoky Mountains National Park,97,Bird,Black-Capped Chickadee,No Intervention,False
Helmitheros vermivorus,Yellowstone National Park,291,Bird,Worm-Eating Warbler,No Intervention,False
Sequoiadendron giganteum,Yosemite National Park,141,Vascular Plant,"Giant Redwood, Giant Sequoia, Sierra Redwood",No Intervention,False
Ditrichum pusillum,Yosemite National Park,160,Nonvascular Plant,Ditrichum Moss,No Intervention,False
Viburnum lantana,Yellowstone National Park,245,Vascular Plant,"Way-Faring Tree, Wayfaring-Tree",No Intervention,False
Ailanthus altissima,Bryce National Park,73,Vascular Plant,Tree-Of-Heaven,No Intervention,False
Salix bebbiana,Bryce National Park,86,Vascular Plant,"Bebb's Willow, Gray Willow",No Intervention,False
Townsendia parryi,Bryce National Park,70,Vascular Plant,"Parry's Townsend Daisy, Parry's Townsendia",No Intervention,False
Corynorhinus rafinesquii,Yosemite National Park,188,Mammal,Rafinesque's Big-Eared Bat,No Intervention,False
Nycticorax nycticorax,Great Smoky Mountains National Park,64,Bird,Black-Crowned Night-Heron,Species of Concern,True
Lespedeza hirta,Bryce National Park,106,Vascular Plant,Hairy Bush-Clover,No Intervention,False
Neckera pennata,Bryce National Park,115,Nonvascular Plant,Neckera Moss,No Intervention,False
Ageratina occidentalis,Yellowstone National Park,246,Vascular Plant,"Western Eupatorium, Western Joepyeweed, Western Snakeroot",No Intervention,False
Baeolophus inornatus,Bryce National Park,97,Bird,Oak Titmouse,No Intervention,False
Ribes cynosbati,Yellowstone National Park,237,Vascular Plant,Prickly Gooseberry,No Intervention,False
Krascheninnikovia lanata,Yosemite National Park,151,Vascular Plant,Winterfat,No Intervention,False
Rumex crispus,Yellowstone National Park,256,Vascular Plant,"Curled Dock, Curly Dock",No Intervention,False
Lonicera involucrata,Yosemite National Park,129,Vascular Plant,"Bearberry Honeysuckle, Twinberry Honeysuckle",No Intervention,False
Pluvialis dominica,Bryce National Park,111,Bird,"American Golden-Plover, Lesser Golden-Plover",No Intervention,False
Equisetum scirpoides,Yellowstone National Park,227,Vascular Plant,Dwarf Scouringrush,No Intervention,False
Spizella pallida,Yellowstone National Park,258,Bird,Clay-Colored Sparrow,No Intervention,False
Hemitremia flammea,Yellowstone National Park,251,Fish,Flame Chub,Species of Concern,True
Fabronia ciliaris var. polycarpa,Yellowstone National Park,264,Nonvascular Plant,Fabronia Moss,No Intervention,False
Elymus trachycaulus ssp. subsecundus,Yosemite National Park,146,Vascular Plant,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",No Intervention,False
Erigeron peregrinus var. hirsutus,Yosemite National Park,125,Vascular Plant,Subalpine Fleabane,No Intervention,False
Eriogonum umbellatum var. nevadense,Great Smoky Mountains National Park,63,Vascular Plant,"Nevada Buckwheat, Sulphur-Flower Buckwheat",No Intervention,False
Mimulus viscidus,Yosemite National Park,192,Vascular Plant,Sticky Monkeyflower,No Intervention,False
Juncus orthophyllus,Great Smoky Mountains National Park,77,Vascular Plant,Straightleaf Rush,No Intervention,False
Limosa fedoa,Yellowstone National Park,266,Bird,Marbled Godwit,Species of Concern,True
Juncus uncialis,Great Smoky Mountains National Park,97,Vascular Plant,Twelfth Rush,No Intervention,False
Fabronia ciliaris,Bryce National Park,111,Nonvascular Plant,Fabronia Moss,No Intervention,False
Thaspium barbinode,Great Smoky Mountains National Park,95,Vascular Plant,"Hairy-Jointed Meadow-Parsnip, Meadow-Parsnip",No Intervention,False
Polystichum scopulinum,Great Smoky Mountains National Park,54,Vascular Plant,"Eaton's Hollyfern, Mountain Hollyfern",No Intervention,False
Oxalis violacea,Yosemite National Park,159,Vascular Plant,Violet Wood-Sorrel,No Intervention,False
Comandra umbellata,Yosemite National Park,145,Vascular Plant,Bastard Toadflax,No Intervention,False
Carex stipata,Bryce National Park,101,Vascular Plant,"Stalk-Grain Sedge, Stipate Sedge",No Intervention,False
Ribes aureum var. aureum,Yosemite National Park,139,Vascular Plant,Golden Currant,No Intervention,False
Allophyllum gilioides ssp. gilioides,Great Smoky Mountains National Park,54,Vascular Plant,"Dense False Gilia, Dense False Gilyflower",No Intervention,False
Ulmus alata,Yosemite National Park,144,Vascular Plant,Winged Elm,No Intervention,False
Mephitis mephitis,Yellowstone National Park,257,Mammal,Striped Skunk,No Intervention,False
Rudbeckia fulgida var. fulgida,Yosemite National Park,151,Vascular Plant,Orange Coneflower,No Intervention,False
Arnica discoidea,Yosemite National Park,153,Vascular Plant,Rayless Arnica,No Intervention,False
Geum triflorum,Yellowstone National Park,234,Vascular Plant,"Old Man's Whiskers, Prairie Smoke, Prairiesmoke",No Intervention,False
Draba oligosperma,Great Smoky Mountains National Park,34,Vascular Plant,"Fewseed Draba, Glacier Draba",No Intervention,False
Cleistes divaricata,Yellowstone National Park,236,Vascular Plant,Spreading Pogonia,No Intervention,False
Tamias quadrimaculatus,Yellowstone National Park,261,Mammal,Long-Eared Chipmunk,No Intervention,False
Hedysarum sulphurescens,Yosemite National Park,143,Vascular Plant,White Sweetvetch,No Intervention,False
Polypodium hesperium,Great Smoky Mountains National Park,68,Vascular Plant,Western Polypody,No Intervention,False
Galium boreale,Yellowstone National Park,252,Vascular Plant,Northern Bedstraw,No Intervention,False
Hosta lancifolia,Bryce National Park,125,Vascular Plant,Hosta,No Intervention,False
Trillium catesbaei,Bryce National Park,94,Vascular Plant,Catesby's Trillium,No Intervention,False
Larus californicus,Yosemite National Park,136,Bird,California Gull,No Intervention,False
Rana draytonii,Great Smoky Mountains National Park,43,Amphibian,California Red-Legged Frog,Threatened,True
Fontinalis sullivantii,Bryce National Park,97,Nonvascular Plant,Sullivant's Fontinalis Moss,No Intervention,False
Clematis occidentalis var. grosseserrata,Yellowstone National Park,247,Vascular Plant,Western Blue Virginsbower,No Intervention,False
Anemone occidentalis,Great Smoky Mountains National Park,82,Vascular Plant,White Pasqueflower,No Intervention,False
Anemone patens var. multifida,Great Smoky Mountains National Park,94,Vascular Plant,Cutleaf Anemone,No Intervention,False
Diervilla sessilifolia,Great Smoky Mountains National Park,81,Vascular Plant,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",No Intervention,False
Pohlia annotina,Great Smoky Mountains National Park,84,Nonvascular Plant,Pohlia Moss,No Intervention,False
Astomum muehlenbergianum,Great Smoky Mountains National Park,115,Nonvascular Plant,Muehlenberg's Astomum Moss,No Intervention,False
Aster patens var. patens,Yosemite National Park,132,Vascular Plant,Late Purple Aster,No Intervention,False
Limnothlypis swainsonii,Great Smoky Mountains National Park,56,Bird,Swainson's Warbler,No Intervention,False
Arabis repanda var. greenei,Great Smoky Mountains National Park,78,Vascular Plant,Greene's Rockcress,No Intervention,False
Brachyelytrum septentrionale,Yellowstone National Park,247,Vascular Plant,Northern Shorthusk,No Intervention,False
Secale cereale,Bryce National Park,134,Vascular Plant,"Cultivated Rye, Rye",No Intervention,False
Packera aurea,Great Smoky Mountains National Park,71,Vascular Plant,Golden Ragwort,No Intervention,False
Delphinium gracilentum,Great Smoky Mountains National Park,75,Vascular Plant,Pine Forest Larkspur,No Intervention,False
Carex debilis var. interjecta,Yellowstone National Park,239,Vascular Plant,Necklace Sedge,No Intervention,False
Myriophyllum sibiricum,Yosemite National Park,176,Vascular Plant,"American Watermilfoil, Shortspike Watermilfoil, Siberian Water-Milfoil",No Intervention,False
Eriophyllum nubigenum,Yosemite National Park,118,Vascular Plant,Yosemite Woolly Sunflower,Species of Concern,True
Cryptantha ambigua,Yosemite National Park,159,Vascular Plant,"Basin Cryptantha, Wickes Cryptantha, Wilkes Cryptantha",No Intervention,False
Epilobium glaberrimum ssp. glaberrimum,Great Smoky Mountains National Park,72,Vascular Plant,"Glaucus Willowherb, Smooth Willowweed",No Intervention,False
Sorbus sitchensis var. grayi,Yosemite National Park,153,Vascular Plant,Western Mountain-Ash,No Intervention,False
Plantago major,Great Smoky Mountains National Park,90,Vascular Plant,"Nipple-Seed Plantain, Plantain",No Intervention,False
Valeriana occidentalis,Yosemite National Park,154,Vascular Plant,"Small-Flower Valerian, Western Valerian, Western Valeriana",No Intervention,False
Mimulus moschatus,Yosemite National Park,139,Vascular Plant,"Musk Monkeyflower, Muskflower",No Intervention,False
Orthocarpus luteus,Bryce National Park,78,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",No Intervention,False
Hoita macrostachya,Yellowstone National Park,263,Vascular Plant,Large Leather-Root,No Intervention,False
Polytrichum piliferum,Bryce National Park,110,Nonvascular Plant,Polytrichum Moss,No Intervention,False
Notropis volucellus,Bryce National Park,69,Fish,Mimic Shiner,No Intervention,False
Poa sylvestris,Yosemite National Park,115,Vascular Plant,Woodland Bluegrass,No Intervention,False
Artemisia vulgaris,Great Smoky Mountains National Park,86,Vascular Plant,"Common Mugwort, Common Wormwood",No Intervention,False
Smilax tamnoides,Yosemite National Park,132,Vascular Plant,"Bristly Greenbrier, Hispid Greenbrier",No Intervention,False
Erigeron compactus,Yosemite National Park,148,Vascular Plant,"Cushion Daisy, Fernleaf Fleabane, Fern-Leaf Fleabane",No Intervention,False
Clarkia purpurea ssp. viminea,Yosemite National Park,157,Vascular Plant,Winecup Clarkia,No Intervention,False
Carex stipata var. stipata,Yosemite National Park,174,Vascular Plant,Owlfruit Sedge,No Intervention,False
Tortella humilis,Bryce National Park,54,Nonvascular Plant,Tortella Moss,No Intervention,False
Elodea nuttallii,Bryce National Park,120,Vascular Plant,Western Waterweed,No Intervention,False
Liriodendron tulipifera,Yosemite National Park,148,Vascular Plant,"Tulip Tree, Tuliptree, Yellow Poplar",No Intervention,False
Sanicula bipinnatifida,Bryce National Park,105,Vascular Plant,Purple Sanicle,No Intervention,False
Silene antirrhina,Yosemite National Park,163,Vascular Plant,Sleepy Catchfly,No Intervention,False
Packera werneriifolia,Great Smoky Mountains National Park,45,Vascular Plant,Hoary Groundsel,No Intervention,False
Pinicola enucleator,Yosemite National Park,149,Bird,Pine Grosbeak,No Intervention,False
Potamogeton strictifolius,Great Smoky Mountains National Park,58,Vascular Plant,"Narrowleaf Pondweed, Straight-Leaf Pondweed",No Intervention,False
Desmognathus wrighti,Yellowstone National Park,201,Amphibian,Pigmy Salamander,Species of Concern,True
Bryum lisae,Bryce National Park,155,Nonvascular Plant,Bryum Moss,No Intervention,False
Holosteum umbellatum,Yosemite National Park,142,Vascular Plant,Jagged Chickweed,No Intervention,False
Lolium arundinaceum,Yellowstone National Park,247,Vascular Plant,Tall Fescue,No Intervention,False
Carex aggregata,Yellowstone National Park,279,Vascular Plant,Glomerate Sedge,No Intervention,False
Anthus rubescens,Yosemite National Park,177,Bird,Water Pipit,No Intervention,False
Cirsium undulatum,Great Smoky Mountains National Park,84,Vascular Plant,"Gray Thistle, Wavyleaf Thistle, Wavy-Leaf Thistle",No Intervention,False
Helenium flexuosum,Yosemite National Park,133,Vascular Plant,"Dark-Eyed Sneezeweed, Purple-Head Sneezeweed",No Intervention,False
